epoch,lr-Adam,step,train/loss,train/reward,val/reward
,0.0001,49,,,
0,,49,-261.1214599609375,-8.377042770385742,
,0.0001,99,,,
0,,99,-225.54547119140625,-7.7077131271362305,
,0.0001,149,,,
0,,149,-190.5128173828125,-7.492389678955078,
0,,156,,,-6.977537155151367
,0.0001,199,,,
1,,199,-185.54196166992188,-7.343621730804443,
,0.0001,249,,,
1,,249,-204.29608154296875,-7.248658180236816,
,0.0001,299,,,
1,,299,-185.23724365234375,-7.143898963928223,
1,,313,,,-6.828812122344971
,0.0001,349,,,
2,,349,-177.9058837890625,-7.131451606750488,
,0.0001,399,,,
2,,399,-167.5022735595703,-7.096662998199463,
,0.0001,449,,,
2,,449,-171.37167358398438,-7.0429253578186035,
2,,470,,,-6.734638214111328
,0.0001,499,,,
3,,499,-160.89987182617188,-6.996061325073242,
,0.0001,549,,,
3,,549,-161.50057983398438,-6.9673638343811035,
,0.0001,599,,,
3,,599,-171.3445587158203,-6.954957485198975,
3,,627,,,-6.669585704803467
,0.0001,649,,,
4,,649,-150.06610107421875,-6.889683723449707,
,0.0001,699,,,
4,,699,-149.55210876464844,-6.829660415649414,
,0.0001,749,,,
4,,749,-149.03366088867188,-6.818327903747559,
4,,784,,,-6.589317798614502
,0.0001,799,,,
5,,799,-148.1278076171875,-6.812161445617676,
,0.0001,849,,,
5,,849,-150.1431884765625,-6.7652435302734375,
,0.0001,899,,,
5,,899,-139.51812744140625,-6.740301132202148,
5,,941,,,-6.552789688110352
,0.0001,949,,,
6,,949,-134.3838653564453,-6.74315881729126,
,0.0001,999,,,
6,,999,-139.69412231445312,-6.709155082702637,
,0.0001,1049,,,
6,,1049,-131.53634643554688,-6.690103054046631,
6,,1098,,,-6.513223648071289
,0.0001,1099,,,
7,,1099,-124.00559997558594,-6.700246810913086,
